name,type
ABAP,data base
ActionScript,web
Ada,GPL
Agda,GPL
AMPLE,GPL
Ant,build
ANTLR Grammar,language construction
Apex Class,salesform
Apex Trigger,salesform
APL,GPL
Arduino Sketch,robots
AsciiDoc,markup
ASP,web
ASP.NET,web
AspectJ,GPL
Assembly,GPL
Asymptote,math
AutoHotkey,script
awk,text
Bazel,GPL
Blade,GPL
Bourne Again Shell,GPL
Bourne Shell,GPL
Brainfuck,GPL
builder,GPL
C,GPL
C Shell,GPL
C/C++ Header,GPL
C#,GPL
C# Designer,GPL
C# Generated,GPL
C++,GPL
Cairo,GPL
Cake Build Script,GPL
Carbon,GPL
CCS,GPL
Chapel,GPL
Circom,GPL
Clean,GPL
Clojure,GPL
ClojureC,GPL
ClojureScript,GPL
CMake,GPL
COBOL,GPL
CoCoA 5,GPL
CoffeeScript,GPL
ColdFusion,GPL
ColdFusion CFScript,GPL
Constraint Grammar,GPL
Containerfile,GPL
Coq,GPL
Crystal,GPL
CSON,GPL
CSS,GPL
CSV,GPL
Cucumber,GPL
CUDA,GPL
Cython,GPL
D,GPL
DAL,GPL
Dart,GPL
Delphi Form,GPL
DenizenScript,GPL
dhall,GPL
DIET,GPL
diff,GPL
DITA,GPL
Dockerfile,GPL
DOS Batch,GPL
Drools,GPL
DTD,GPL
dtrace,GPL
ECPP,GPL
EEx,GPL
EJS,GPL
Elixir,GPL
Elm,GPL
Embedded Crystal,GPL
ERB,GPL
Erlang,GPL
Expect,GPL
F#,GPL
F# Script,GPL
Fennel,GPL
Finite State Language,GPL
Fish Shell,GPL
Flatbuffers,GPL
Forth,GPL
Fortran 77,GPL
Fortran 90,GPL
Fortran 95,GPL
Freemarker Template,GPL
FXML,GPL
GDScript,GPL
Gencat NLS,GPL
Glade,GPL
Gleam,GPL
GLSL,GPL
Go,GPL
Godot Resource,GPL
Godot Scene,GPL
Godot Shaders,GPL
Gradle,GPL
Grails,GPL
GraphQL,GPL
Groovy,GPL
Haml,GPL
Handlebars,GPL
Harbour,GPL
Haskell,GPL
Haxe,GPL
HCL,GPL
HLSL,GPL
Hoon,GPL
HTML,GPL
HTML EEx,GPL
IDL,GPL
Idris,GPL
Igor Pro,GPL
Imba,GPL
INI,GPL
InstallShield,GPL
IPL,GPL
Jai,GPL
Jam,GPL
Java,GPL
JavaScript,GPL
JavaServer Faces,GPL
JCL,GPL
Jinja Template,GPL
JSON,GPL
JSON5,GPL
JSP,GPL
JSX,GPL
Julia,GPL
Jupyter Notebook,GPL
Kermit,GPL
Korn Shell,GPL
Kotlin,GPL
kvlang,GPL
Lean,GPL
LESS,GPL
lex,GPL
LFE,GPL
Linker Script,GPL
liquid,GPL
Lisp,GPL
LLVM IR,GPL
Logos,GPL
Logtalk,GPL
Lua,GPL
m4,GPL
make,GPL
Mako,GPL
Markdown,GPL
Mathematica,GPL
MATLAB,GPL
Maven,GPL
Mercury,GPL
Meson,GPL
Metal,GPL
Modula3,GPL
Mojo,GPL
MSBuild script,GPL
MUMPS,GPL
Mustache,GPL
MXML,GPL
NAnt script,GPL
Nemerle,GPL
NetLogo,GPL
Nim,GPL
Nix,GPL
