query,number
a,11342089
b,8202695
c,11378961
d,10109403
e,6551267
f,7879543
g,10712221
h,8398085
i,8470637
j,5899405
k,3805845
l,8092997
m,10227629
n,6230646
o,4808232
p,12023502
q,2049054
r,9690162
s,13289320
t,11259286
u,4114760
v,4363613
w,8142123
x,1359329
y,2061931
z,1589135
A,11068753
B,8190471
C,11282678
D,10190765
E,7163176
F,8081227
G,10211809
H,7379135
I,7677150
J,6272389
K,3646598
L,7615691
M,9989355
N,6037756
O,4816898
P,12132070
Q,2128870
R,8555291
S,13794350
T,11127226
U,4010848
V,4576979
W,8442722
X,1353683
Y,2094311
Z,1587532
0,3592253
1,6208188
2,6471931
3,3857811
4,2982892
5,2314228
6,1646929
7,1404325
8,1453966
9,1196233
